mode,physical_run_id,scenario,metric,complete_trials,predicted_trials,observed_mean,predicted_mean,mape_percent,wape_percent,ratio_error_ci95_low,ratio_error_ci95_high
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,engram-distinct-text,request_latency_ms,73,73,5514.533758315069,41.78628579452054,99.24150797241184,99.24225170021829,-99.2488755421519,-99.23724161714954
sol,c8bd9839-4f15-4c4e-814d-2827d57279c5,engram-distinct-text,last_token_latency_ms,73,73,5513.840991808219,41.78628579452054,99.24141263164155,99.24215649568782,-99.24877980815698,-99.23714393224877
sol,5d42d931-e533-4759-a452-534acce69a42,short,output_tokens_per_second,26,26,5.628123490268648,858.6053904659544,15156.084167402236,15155.624578077099,15124.399181082368,15188.853304946324
sol,5d42d931-e533-4759-a452-534acce69a42,short,ttft_ms,26,26,335.5257681153846,5.3021069999999995,98.41957098444755,98.41976160883816,-98.42750662744675,-98.41427435428272
sol,5d42d931-e533-4759-a452-534acce69a42,short,average_tpot_ms,26,26,155.09016617582418,0.5394932857142857,99.6521325020338,99.65214217057279,-99.65282828176981,-99.6514313130274
sol,5d42d931-e533-4759-a452-534acce69a42,short,exact_itl_ms,26,26,155.09016617582418,0.5394932857142857,99.6521325020338,99.65214217057279,-99.65282828176981,-99.6514313130274
sol,5d42d931-e533-4759-a452-534acce69a42,short,request_latency_ms,26,26,1421.4783736153845,9.07856,99.36130929007733,99.36132971359181,-99.3627696893048,-99.35997782104752
sol,5d42d931-e533-4759-a452-534acce69a42,short,last_token_latency_ms,26,26,1421.156931346154,9.07856,99.36116490325225,99.36118525690189,-99.36261771125704,-99.35983557901322
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-127,output_tokens_per_second,26,26,5.955902801573915,874.5917871982848,14595.68381325321,14584.453664474913,14494.894186429607,14748.350783938095
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-127,ttft_ms,26,26,340.9909111538461,9.9327,97.0869350176696,97.08710711191986,-97.0962548183656,-97.0791184992996
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-127,average_tpot_ms,26,26,156.47524256153847,0.539838333333333,99.65465626259243,99.65500080108774,-99.6598846389438,-99.65227735598341
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-127,exact_itl_ms,26,26,156.47524256153847,0.539838333333333,99.65465626259243,99.65500080108774,-99.6598846389438,-99.65227735598341
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-127,request_latency_ms,26,26,2688.466616730769,18.030274999999996,99.3288339663397,99.32934726108203,-99.33761068033824,-99.32468554076766
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-127,last_token_latency_ms,26,26,2688.119549576923,18.030274999999996,99.3287474084184,99.32926067209928,-99.33751998852478,-99.3246010099413
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-128,output_tokens_per_second,26,26,5.99701774745756,874.114509034915,14476.112179175578,14475.819946597569,14450.447711580466,14503.091448287338
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-128,ttft_ms,26,26,341.2049388076923,9.936998999999998,97.08749580294916,97.08767433592143,-97.096773611622,-97.07916665928256
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-128,average_tpot_ms,26,26,155.0998859025641,0.5398393999999997,99.6519333226918,99.65194081423171,-99.65256008407927,-99.65134407004508
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-128,exact_itl_ms,26,26,155.0998859025641,0.5398393999999997,99.6519333226918,99.65194081423171,-99.65256008407927,-99.65134407004508
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-128,request_latency_ms,26,26,2668.0427374615383,18.034589999999994,99.32403902313675,99.32405168227707,-99.32518757676425,-99.32298891407449
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-128,last_token_latency_ms,26,26,2667.7032273461537,18.034589999999994,99.32395301838436,99.32396565648189,-99.32510134351166,-99.32290302050346
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-129,output_tokens_per_second,26,26,5.988693022992864,873.7168009860594,14489.876759646671,14489.440427678113,14460.772202396534,14520.032962338044
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-129,ttft_ms,26,26,342.3167595,9.939378,97.095604707735,97.09643839392561,-97.11851749515151,-97.08099516232468
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-129,average_tpot_ms,26,26,155.2759312102564,0.5398405999999999,99.65232246943394,99.65233465625204,-99.65315033344899,-99.65154113874581
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-129,exact_itl_ms,26,26,155.2759312102564,0.5398405999999999,99.65232246943394,99.65233465625204,-99.65315033344899,-99.65154113874581
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-129,request_latency_ms,26,26,2671.793450730769,18.036986999999996,99.32488763623304,99.32491087606093,-99.3264549868882,-99.3234131546134
sol,5d42d931-e533-4759-a452-534acce69a42,boundary-129,last_token_latency_ms,26,26,2671.455727653846,18.036986999999996,99.32480232223335,99.32482553188929,-99.32637193190237,-99.32332901956221
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-192,output_tokens_per_second,26,26,6.2003602925893455,1180.4843182302454,18939.2750657786,18938.963262201993,18907.69021750589,18968.145788451046
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-192,ttft_ms,26,26,342.3032035,10.090104,97.05212491413229,97.05229051413185,-97.0611563061289,-97.0438567816035
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-192,average_tpot_ms,26,26,155.43398146774194,0.5399190322580647,99.65263201732338,99.65263771334963,-99.65316311190278,-99.6520704862235
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-192,exact_itl_ms,26,26,155.43398146774194,0.5399190322580647,99.65263201732338,99.65263771334963,-99.65316311190278,-99.6520704862235
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-192,request_latency_ms,26,26,5161.073192423077,26.827594000000005,99.48018516067717,99.48019349852689,-99.48097038214068,-99.47934832138898
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-192,last_token_latency_ms,26,26,5160.756629,26.827594000000005,99.48015328151875,99.48016161333305,-99.48093877777052,-99.47931639777299
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-burst-192,output_tokens_per_second,26,26,11.9474965403569,1535.4270340969,12754.276726712169,12751.454100952877,12683.353047361248,12826.527859879096
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-burst-192,ttft_ms,26,26,382.78445640384615,15.150048423076925,95.99410054547775,96.04214639084164,-96.21987941952534,-95.8803039706629
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-burst-192,average_tpot_ms,26,26,160.4592826674938,0.8284875161290319,99.48364721954069,99.4836774150076,-99.48521331790339,-99.48221462433803
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-burst-192,exact_itl_ms,26,26,160.4592826674938,0.8284875161290319,99.48364721954069,99.4836774150076,-99.48521331790339,-99.48221462433803
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-burst-192,request_latency_ms,26,26,5357.669643230769,40.833161423076916,99.23768751166112,99.23785593098917,-99.24235788773316,-99.2336912396675
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-burst-192,last_token_latency_ms,26,26,5357.022219096154,40.833161423076916,99.23759530842045,99.23776382189494,-99.24226722009408,-99.23359613929398
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-384,output_tokens_per_second,26,26,6.18296215699042,1158.9660697112554,18648.377130238718,18644.51177743237,18575.71312774579,18759.529597164154
sol,5d42d931-e533-4759-a452-534acce69a42,heldout-single-384,ttft_ms,26,26,344.6959261923077,10.561253999999998,96.93592030204148,96.9360664871601,-96.94445443459851,-96.92834693297884
