mode,scenario,metric,unit,observed_trials,predicted_trials,all_observed_mean,matched_observed_mean,predicted_mean,ratio_error_percent,mape_percent,wape_percent,ratio_error_ci95_low,ratio_error_ci95_high
hybrid,prefix-reuse-B,output_tokens_per_second,tokens/s,40,40,5.930160978113707,5.930160978113707,6.771511841528986,14.187656397868986,14.245368895117396,14.187656397868974,13.69611278769668,15.0249567844841
hybrid,prefix-reuse-B,request_latency_ms,ms,40,40,2699.435448325,2699.435448325,2362.477375,-12.48253865578014,12.438305369365604,12.482538655780143,-13.195926096455539,-12.060957488934697
hybrid,prefix-reuse-B,last_token_latency_ms,ms,40,40,2699.068313275,2699.068313275,2362.477375,-12.470634278485038,12.42638771017429,12.470634278485038,-13.184179927028156,-12.048839538699442
hybrid,prefix-reuse-B,exact_itl_ms,ms,40,40,156.87789365333333,156.87789365333333,134.84463766666667,-14.044844352229424,13.988609843336599,14.044844352229424,-14.849000320713063,-13.574543411561525
hybrid,engram-repeated-text,ttft_ms,ms,40,40,401.7022476,401.7022476,469.58112944999993,16.89780982196325,18.825997842310795,16.897809821963257,12.451156381110422,21.754514971825206
hybrid,engram-repeated-text,average_tpot_ms,ms,40,40,161.70488252661292,161.70488252661292,140.95783401612903,-12.83019299498851,12.812042689696012,12.8301929949885,-13.255696203781863,-12.470646401042833
hybrid,engram-repeated-text,output_tokens_per_second,tokens/s,40,40,11.822310618771601,11.822310618771601,13.041905080037434,10.31604142873177,10.35962037514257,10.316041428731765,9.654116089125065,10.98560466438994
hybrid,engram-repeated-text,request_latency_ms,ms,40,40,5415.295548875,5415.295548875,4839.27398395,-10.63693679737694,10.601631984344726,10.636936797376926,-11.174479015588124,-10.089055582587694
hybrid,engram-repeated-text,last_token_latency_ms,ms,40,40,5414.553605925,5414.553605925,4839.27398395,-10.624691596837954,10.589389757885325,10.624691596837948,-11.16186745792295,-10.076569745276586
hybrid,engram-repeated-text,exact_itl_ms,ms,40,40,161.70488252661292,161.70488252661292,140.95783401612903,-12.83019299498851,12.812042689696012,12.830192994988497,-13.255696203781863,-12.470646401042833
hybrid,engram-distinct-text,ttft_ms,ms,40,40,395.2321073875,395.2321073875,530.413587375,34.20306130517963,36.336391382845896,34.203061305179624,28.906370147428216,39.84270497443242
hybrid,engram-distinct-text,average_tpot_ms,ms,40,40,161.77263632379032,161.77263632379032,142.92020587096778,-11.65365841914644,11.616969477597499,11.65365841914645,-12.296589941470137,-11.150773445983708
hybrid,engram-distinct-text,output_tokens_per_second,tokens/s,40,40,11.834641707577067,11.834641707577067,12.72639073298726,7.535074127670938,7.601722031278672,7.53507412767093,6.762008031192007,8.43103148913408
hybrid,engram-distinct-text,request_latency_ms,ms,40,40,5410.8734511,5410.8734511,4960.939969375,-8.315357692084469,8.258525637959007,8.315357692084458,-9.106968171872882,-7.626514675445128
hybrid,engram-distinct-text,last_token_latency_ms,ms,40,40,5410.183833425,5410.183833425,4960.939969375,-8.303670963535426,8.246827371306303,8.303670963535426,-9.095247707351044,-7.614806094324413
